Array Size: 1000000,
Cutoff,Cutoff/arraySize,1 Thread(s),2 Thread(s),4 Thread(s),8 Thread(s),16 Thread(s),32 Thread(s),
10000,0.01,396,155,174,140,145,150,
15000,0.015,244,151,149,141,142,148,
20000,0.02,161,145,131,155,147,132,
25000,0.025,141,143,131,131,132,126,
30000,0.03,149,145,131,146,137,112,
35000,0.035,133,128,125,136,130,138,
40000,0.04,139,125,135,133,123,102,
45000,0.045,134,130,128,164,130,99,
50000,0.05,134,125,129,129,118,100,
55000,0.055,137,129,134,130,116,101,
60000,0.06,134,135,127,129,124,96,
65000,0.065,135,122,118,122,92,92,
70000,0.07,123,128,124,120,96,87,
75000,0.075,131,126,126,111,95,91,
80000,0.08,124,127,116,122,97,87,
85000,0.085,139,130,116,122,100,90,
90000,0.09,124,122,134,120,94,89,
95000,0.095,133,133,115,122,97,92,
100000,0.1,133,127,120,130,97,87,
105000,0.105,140,120,110,121,93,92,
110000,0.11,122,129,133,113,95,94,
115000,0.115,129,119,113,116,96,87,
120000,0.12,113,124,129,119,91,93,
125000,0.125,134,126,126,109,95,91,
130000,0.13,125,113,112,92,78,80,
135000,0.135,121,117,116,108,80,81,
140000,0.14,115,114,127,94,80,78,
145000,0.145,131,124,118,92,84,85,
150000,0.15,120,119,121,98,81,77,
155000,0.155,136,115,128,92,81,78,
160000,0.16,125,108,107,95,79,83,
165000,0.165,130,125,119,89,80,77,
170000,0.17,130,118,112,96,77,83,
175000,0.175,127,118,119,92,81,78,
180000,0.18,126,123,121,92,76,82,
185000,0.185,132,126,119,93,76,82,
190000,0.19,135,125,125,91,82,77,
195000,0.195,126,117,121,102,77,82,
200000,0.2,126,124,114,100,84,80,
205000,0.205,133,133,125,95,76,79,
210000,0.21,122,116,131,94,81,83,
215000,0.215,124,116,117,96,76,78,
220000,0.22,122,127,114,95,83,81,
225000,0.225,135,113,116,89,76,78,
230000,0.23,125,115,113,91,82,77,
235000,0.235,116,113,119,95,78,84,
240000,0.24,126,118,121,91,79,80,
245000,0.245,134,114,114,95,75,88,
250000,0.25,120,117,120,99,82,81,
255000,0.255,114,106,84,72,69,70,
260000,0.26,106,111,80,67,68,77,
265000,0.265,118,105,84,69,71,68,
270000,0.27,101,119,81,72,68,70,
275000,0.275,116,104,82,68,68,74,
280000,0.28,109,105,85,68,72,83,
285000,0.285,106,109,84,73,68,82,
290000,0.29,108,108,82,68,68,72,
295000,0.295,105,107,85,72,74,71,
300000,0.3,116,109,83,71,71,74,
305000,0.305,111,103,83,74,68,73,
310000,0.31,117,108,84,73,68,72,
315000,0.315,118,109,84,71,72,70,
320000,0.32,107,109,86,72,69,76,
325000,0.325,103,116,83,69,72,70,
330000,0.33,106,105,84,67,73,69,
335000,0.335,105,106,81,71,70,70,
340000,0.34,116,111,80,69,67,75,
345000,0.345,119,112,86,70,77,71,
350000,0.35,106,120,83,70,71,69,
355000,0.355,108,103,82,66,70,74,
360000,0.36,106,105,90,67,76,68,
365000,0.365,117,107,85,73,72,71,
370000,0.37,123,117,84,72,73,69,
375000,0.375,110,115,83,69,73,73,
380000,0.38,120,115,79,75,69,67,
