Array Size: 1000000,
Cutoff,Cutoff/arraySize,1 Thread(s),2 Thread(s),4 Thread(s),8 Thread(s),16 Thread(s),32 Thread(s),
10000,0.01,0,0,0,0,0,0,
15000,0.015,56,537,194,201,185,190,
20000,0.02,55,174,161,153,160,160,
25000,0.025,57,171,168,157,160,157,
30000,0.03,56,188,178,177,176,167,
35000,0.035,55,155,144,140,141,139,
40000,0.04,56,156,148,146,138,138,
45000,0.045,54,155,146,139,141,138,
50000,0.05,56,159,149,145,137,141,
55000,0.055,56,159,148,145,140,139,
60000,0.06,56,175,163,164,156,138,
65000,0.065,55,156,139,136,129,124,
70000,0.07,56,154,142,131,127,123,
75000,0.075,54,148,141,131,133,124,
80000,0.08,56,153,145,130,130,121,
85000,0.085,55,153,149,130,132,125,
90000,0.09,57,152,144,130,135,121,
95000,0.095,54,147,145,128,131,124,
100000,0.1,55,414,142,131,132,122,
105000,0.105,60,146,140,132,131,123,
110000,0.11,56,147,139,135,128,124,
115000,0.115,55,149,137,131,129,124,
120000,0.12,56,148,142,133,129,124,
125000,0.125,54,158,162,159,130,125,
130000,0.13,55,130,143,125,110,112,
135000,0.135,54,135,145,126,113,112,
140000,0.14,56,137,149,128,113,110,
145000,0.145,55,138,142,126,108,113,
150000,0.15,58,137,151,126,106,112,
155000,0.155,55,138,140,124,114,112,
160000,0.16,57,136,149,126,113,109,
165000,0.165,56,140,152,126,110,113,
170000,0.17,57,149,137,128,111,107,
175000,0.175,55,145,146,124,108,111,
180000,0.18,56,143,153,128,113,112,
185000,0.185,55,142,141,124,114,114,
190000,0.19,57,142,135,126,109,109,
195000,0.195,58,142,147,122,110,114,
200000,0.2,53,136,139,127,113,109,
205000,0.205,59,385,142,128,111,113,
210000,0.21,56,157,140,129,111,106,
215000,0.215,54,141,146,124,112,138,
220000,0.22,55,148,140,127,110,111,
225000,0.225,57,154,134,126,113,109,
230000,0.23,65,143,136,128,112,111,
235000,0.235,58,144,143,125,111,111,
240000,0.24,60,149,146,126,110,112,
245000,0.245,59,147,143,123,111,112,
250000,0.25,59,166,145,131,109,112,
255000,0.255,62,140,108,92,91,96,
260000,0.26,60,142,108,95,93,95,
265000,0.265,60,141,107,93,92,92,
270000,0.27,61,140,105,94,95,94,
275000,0.275,60,144,107,94,92,92,
280000,0.28,60,147,108,96,95,94,
285000,0.285,61,142,111,95,91,93,
290000,0.29,60,143,108,94,93,96,
295000,0.295,58,138,106,94,94,91,
300000,0.3,59,141,109,91,93,92,
305000,0.305,60,141,109,93,95,92,
310000,0.31,59,144,109,92,96,94,
315000,0.315,61,143,107,95,92,92,
320000,0.32,58,142,110,93,95,93,
325000,0.325,61,140,109,98,95,91,
330000,0.33,58,142,106,92,94,94,
335000,0.335,61,140,109,95,91,94,
340000,0.34,60,149,107,92,94,98,
345000,0.345,59,141,105,94,93,93,
350000,0.35,59,145,108,92,96,95,
355000,0.355,59,144,105,93,93,95,
360000,0.36,61,147,109,91,91,94,
365000,0.365,58,142,114,95,94,93,
370000,0.37,60,142,110,91,92,94,
375000,0.375,59,141,112,92,95,91,
380000,0.38,57,146,107,92,94,95,
385000,0.385,60,140,112,104,94,92,
390000,0.39,61,145,108,92,104,93,
395000,0.395,61,138,110,94,94,91,
400000,0.4,58,142,111,93,92,96,
405000,0.405,59,142,112,94,94,91,
410000,0.41,60,142,111,93,94,94,
415000,0.415,61,142,111,94,92,91,
420000,0.42,59,142,108,91,92,97,
425000,0.425,60,142,107,92,94,92,
430000,0.43,60,143,110,96,92,97,
435000,0.435,59,140,108,95,94,90,
440000,0.44,59,141,108,93,92,95,
445000,0.445,60,143,114,95,93,101,
450000,0.45,58,142,108,92,93,92,
455000,0.455,61,142,111,94,93,96,
460000,0.46,57,141,112,91,92,92,
465000,0.465,60,141,111,98,93,98,
470000,0.47,58,141,108,92,93,93,
475000,0.475,59,142,110,95,96,95,
480000,0.48,58,144,108,92,92,93,
485000,0.485,57,141,106,94,97,94,
490000,0.49,60,151,103,93,93,93,
495000,0.495,60,150,108,93,94,95,
500000,0.5,58,148,108,93,95,96,
505000,0.505,59,79,78,76,78,77,
510000,0.51,59,79,75,76,77,78,
515000,0.515,61,85,76,74,76,77,
520000,0.52,58,81,77,76,77,78,
525000,0.525,59,81,77,77,77,75,
530000,0.53,57,82,76,74,80,76,
535000,0.535,60,83,76,77,78,76,
540000,0.54,58,84,78,81,77,77,
545000,0.545,57,82,77,77,79,75,
550000,0.55,61,80,77,79,77,79,
555000,0.555,59,79,77,80,76,79,
560000,0.56,60,80,81,78,76,77,
565000,0.565,60,78,78,78,78,77,
570000,0.57,59,83,77,80,78,78,
575000,0.575,59,76,79,76,81,77,
580000,0.58,60,84,80,78,76,75,
585000,0.585,60,83,78,79,80,77,
590000,0.59,60,80,77,77,79,76,
595000,0.595,58,81,76,74,77,78,
600000,0.6,58,83,75,79,76,77,
605000,0.605,58,82,75,77,79,76,
610000,0.61,57,80,75,79,76,77,
615000,0.615,56,84,76,76,77,79,
620000,0.62,57,82,79,78,77,76,
625000,0.625,57,83,77,75,78,79,
630000,0.63,58,81,75,82,75,77,
635000,0.635,56,80,78,77,78,77,
640000,0.64,58,80,75,77,78,79,
645000,0.645,60,82,75,74,75,80,
650000,0.65,56,81,78,76,76,78,
655000,0.655,59,80,75,76,76,77,
660000,0.66,58,81,78,77,79,75,
665000,0.665,58,80,74,73,77,74,
670000,0.67,65,80,74,76,78,73,
675000,0.675,57,81,74,79,74,78,
680000,0.68,58,82,80,75,79,77,
685000,0.685,56,79,77,75,77,75,
690000,0.69,58,81,77,76,78,77,
695000,0.695,57,81,75,76,80,75,
700000,0.7,60,78,77,75,77,74,
705000,0.705,56,83,76,75,79,79,
710000,0.71,58,82,76,75,78,74,
715000,0.715,58,78,75,75,77,75,
720000,0.72,58,84,76,77,78,76,
725000,0.725,58,83,76,73,76,78,
730000,0.73,59,83,73,74,76,77,
735000,0.735,59,83,77,77,77,76,
740000,0.74,59,80,77,72,79,73,
745000,0.745,58,82,76,77,75,76,
750000,0.75,60,83,74,76,78,75,
755000,0.755,60,79,77,77,79,74,
760000,0.76,60,81,76,75,77,75,
765000,0.765,58,82,75,75,79,77,
770000,0.77,59,82,78,75,77,74,
775000,0.775,60,80,75,77,75,75,
780000,0.78,57,84,75,75,77,78,
785000,0.785,58,81,76,77,77,76,
790000,0.79,56,87,78,76,79,76,
795000,0.795,58,79,81,79,79,76,
800000,0.8,58,81,76,76,75,75,
805000,0.805,59,86,76,77,77,79,
810000,0.81,58,215,76,76,78,78,
815000,0.815,58,169,78,77,78,77,
820000,0.82,60,82,78,76,76,80,
825000,0.825,57,84,76,77,76,77,
830000,0.83,59,83,78,74,77,78,
835000,0.835,58,81,77,79,76,73,
840000,0.84,66,87,77,77,76,80,
845000,0.845,63,81,79,76,77,76,
850000,0.85,57,86,77,76,77,80,
855000,0.855,59,135,77,78,75,78,
860000,0.86,59,97,75,74,78,75,
865000,0.865,60,84,75,73,76,76,
870000,0.87,61,85,74,77,76,76,
875000,0.875,63,85,77,72,77,75,
880000,0.88,61,84,77,75,76,79,
885000,0.885,61,82,79,74,78,78,
890000,0.89,61,84,74,78,76,77,
895000,0.895,66,80,80,77,78,76,

