0.005,89.4
0.01,65.4
0.015,64.5
0.02,58.9
0.025,59.4
0.03,59.2
0.035,59.4
0.04,59.4
0.045,59.9
0.05,59.6
0.055,59.3
0.06,59.4
0.065,58.8
0.07,58.4
0.075,58.7
0.08,58.6
0.085,59.4
0.09,59.0
0.095,59.7
0.1,59.4
0.105,60.2
0.11,58.9
0.115,59.7
0.12,59.4
0.125,58.5
0.13,59.5
0.135,59.1
0.14,59.5
0.145,58.9
0.15,59.7
0.155,60.0
0.16,59.4
0.165,60.6
0.17,59.5
0.175,59.8
0.18,59.0
0.185,59.7
0.19,59.1
0.195,59.2
0.2,59.5
0.205,59.7
0.21,60.4
0.215,59.1
0.22,59.7
0.225,59.7
0.23,59.8
0.235,60.3
0.24,60.0
0.245,60.0
0.25,59.3
