Array Size: 1000000,
Cutoff,Cutoff/arraySize,1 Thread(s),2 Thread(s),4 Thread(s),8 Thread(s),16 Thread(s),32 Thread(s),
10000,0.01,800,330,311,277,312,279,
15000,0.015,761,247,248,238,253,230,
20000,0.02,329,261,219,220,246,208,
25000,0.025,288,255,220,207,268,210,
30000,0.03,347,254,228,241,229,211,
35000,0.035,270,231,202,214,245,202,
40000,0.04,246,225,207,209,234,203,
45000,0.045,249,216,212,215,225,203,
50000,0.05,249,220,211,229,220,201,
55000,0.055,238,213,202,215,213,194,
60000,0.06,260,218,229,245,212,195,
65000,0.065,248,219,196,214,232,195,
70000,0.07,255,207,195,226,200,204,
75000,0.075,239,210,196,205,193,217,
80000,0.08,310,209,193,217,187,226,
85000,0.085,270,206,189,222,179,249,
90000,0.09,238,201,189,213,220,201,
95000,0.095,257,219,197,208,186,224,
100000,0.1,239,208,189,216,199,186,
105000,0.105,253,210,198,211,182,190,
110000,0.11,267,210,187,228,186,185,
115000,0.115,251,201,193,245,181,189,
120000,0.12,241,210,189,202,178,181,
125000,0.125,279,206,194,197,180,195,
130000,0.13,251,205,177,182,174,176,
135000,0.135,271,201,185,198,174,167,
140000,0.14,258,206,167,195,199,182,
145000,0.145,259,198,181,175,178,166,
150000,0.15,264,196,208,180,171,180,
155000,0.155,271,209,168,188,167,171,
160000,0.16,245,195,173,167,175,213,
165000,0.165,270,206,167,198,178,183,
170000,0.17,256,197,175,183,176,182,
175000,0.175,288,237,181,177,204,188,
180000,0.18,297,192,169,185,197,210,
185000,0.185,281,203,167,174,171,167,
190000,0.19,273,216,172,166,206,177,
195000,0.195,314,201,170,161,214,193,
200000,0.2,250,207,172,174,167,186,
205000,0.205,261,203,176,188,164,216,
210000,0.21,261,214,172,168,191,173,
215000,0.215,267,208,167,165,171,208,
220000,0.22,248,198,174,170,161,181,
225000,0.225,243,206,167,166,170,166,
230000,0.23,286,211,170,166,169,213,
235000,0.235,254,199,169,166,197,196,
240000,0.24,297,210,172,188,180,175,
245000,0.245,286,202,167,216,165,218,
250000,0.25,254,210,172,193,176,167,
255000,0.255,289,184,177,149,154,154,
260000,0.26,311,175,154,152,150,149,
265000,0.265,255,175,176,185,152,182,
270000,0.27,266,190,151,194,184,144,
275000,0.275,248,205,188,146,168,158,
280000,0.28,278,174,180,147,155,171,
285000,0.285,306,167,167,150,150,170,
290000,0.29,266,201,184,142,173,140,
295000,0.295,276,237,183,149,172,153,
300000,0.3,293,177,142,158,168,163,
305000,0.305,284,184,179,156,160,165,
310000,0.31,241,165,190,156,149,165,
315000,0.315,300,179,166,184,157,141,
320000,0.32,328,206,170,145,145,168,
325000,0.325,290,200,180,158,168,170,
330000,0.33,272,178,169,161,158,164,
335000,0.335,272,200,152,159,180,158,
340000,0.34,268,173,161,176,155,145,
345000,0.345,317,212,159,188,154,152,
350000,0.35,281,179,173,164,143,171,
355000,0.355,290,211,185,156,138,162,
360000,0.36,288,203,169,150,145,173,
