Array Size: 1000000,
Cutoff,Cutoff/arraySize,1 Thread(s),2 Thread(s),4 Thread(s),8 Thread(s),16 Thread(s),32 Thread(s),
365000,0.365,277,172,160,178,150,181,
370000,0.37,242,186,178,173,151,148,
375000,0.375,323,188,181,143,167,163,
380000,0.38,272,204,168,193,143,184,
385000,0.385,320,194,152,159,142,190,
390000,0.39,296,175,160,153,144,153,
395000,0.395,251,173,147,157,153,203,
400000,0.4,277,168,174,152,142,153,
405000,0.405,279,185,177,168,143,180,
410000,0.41,257,186,166,175,152,184,
415000,0.415,296,236,175,169,168,142,
420000,0.42,298,170,180,159,156,170,
425000,0.425,328,177,144,144,150,186,
430000,0.43,283,174,146,169,167,144,
435000,0.435,301,201,164,163,146,142,
440000,0.44,321,194,154,183,144,150,
445000,0.445,245,213,174,158,184,145,
450000,0.45,263,207,195,164,174,154,
455000,0.455,280,176,171,172,178,162,
460000,0.46,268,188,175,145,172,165,
465000,0.465,284,172,156,162,165,157,
470000,0.47,247,169,165,198,152,146,
475000,0.475,327,193,191,199,145,165,
480000,0.48,302,168,152,193,142,165,
485000,0.485,251,169,174,172,161,176,
490000,0.49,268,185,188,147,164,162,
495000,0.495,309,188,156,167,170,147,
500000,0.5,281,180,176,170,159,144,
505000,0.505,241,152,170,130,149,121,
510000,0.51,193,144,131,129,133,120,
515000,0.515,245,141,128,128,126,133,
520000,0.52,226,131,128,128,136,135,
525000,0.525,218,168,128,135,123,121,
530000,0.53,212,128,133,127,128,121,
535000,0.535,191,123,124,130,132,126,
540000,0.54,198,129,128,135,129,128,
545000,0.545,238,128,132,125,123,127,
550000,0.55,222,128,135,124,127,120,
555000,0.555,243,128,127,127,129,124,
560000,0.56,189,126,128,130,128,120,
565000,0.565,238,129,128,135,126,125,
570000,0.57,198,147,131,126,126,131,
575000,0.575,236,143,124,122,129,129,
580000,0.58,187,154,125,124,128,131,
585000,0.585,194,130,128,126,123,130,
590000,0.59,213,127,130,131,128,150,
595000,0.595,193,130,130,131,132,127,
600000,0.6,193,128,127,155,127,131,
605000,0.605,230,135,124,142,158,133,
610000,0.61,199,122,127,148,126,127,
615000,0.615,184,123,136,149,126,123,
620000,0.62,217,122,127,132,130,130,
625000,0.625,238,125,141,128,129,130,
630000,0.63,237,141,134,164,160,139,
635000,0.635,226,130,145,136,130,144,
640000,0.64,200,128,130,124,130,126,
645000,0.645,234,140,135,134,124,129,
650000,0.65,262,142,137,127,129,122,
655000,0.655,181,174,143,123,143,131,
660000,0.66,185,131,129,125,141,163,
665000,0.665,183,130,127,130,134,138,
670000,0.67,228,133,128,124,154,158,
675000,0.675,211,130,125,126,129,159,
680000,0.68,251,130,156,123,162,125,
685000,0.685,206,151,132,125,132,128,
690000,0.69,196,126,132,125,129,134,
695000,0.695,178,129,127,130,123,128,
700000,0.7,210,122,131,139,125,151,
705000,0.705,201,140,146,146,127,125,
710000,0.71,190,134,130,135,130,146,
715000,0.715,199,135,145,131,127,141,
720000,0.72,191,134,144,125,127,128,
725000,0.725,244,142,135,119,126,130,
730000,0.73,214,145,135,136,130,129,
735000,0.735,232,158,126,125,132,135,
740000,0.74,216,140,130,123,128,128,
745000,0.745,182,138,121,121,127,130,
750000,0.75,205,130,128,146,129,161,
755000,0.755,236,132,128,128,131,136,
760000,0.76,227,147,123,127,125,129,
765000,0.765,210,130,126,134,144,126,
770000,0.77,190,135,131,134,129,131,
775000,0.775,222,145,130,125,121,124,
780000,0.78,232,140,130,139,122,128,
785000,0.785,197,129,134,128,126,132,
790000,0.79,232,127,123,142,131,171,
795000,0.795,192,129,128,122,129,159,
800000,0.8,203,125,136,127,145,149,
805000,0.805,226,131,128,140,128,149,
810000,0.81,202,124,128,141,129,126,
815000,0.815,239,140,125,127,124,128,
820000,0.82,208,127,123,142,134,124,
825000,0.825,205,129,121,126,126,152,
830000,0.83,206,136,128,129,124,147,
835000,0.835,197,130,126,127,127,133,
840000,0.84,219,127,142,126,126,130,
845000,0.845,205,128,123,132,128,128,
850000,0.85,198,127,127,135,126,131,
855000,0.855,225,123,131,123,125,134,
860000,0.86,224,128,135,124,135,127,
865000,0.865,229,124,121,127,129,127,
870000,0.87,204,133,121,124,125,125,
875000,0.875,197,161,135,134,124,139,
880000,0.88,226,125,160,139,127,150,
885000,0.885,222,126,128,150,123,131,
890000,0.89,234,129,126,132,129,121,
895000,0.895,183,130,141,139,126,136,

