Array Size: 1000000,
Cutoff,Cutoff/arraySize,1 Thread(s),2 Thread(s),4 Thread(s),8 Thread(s),
10000,0.01,283,96,93,88,
20000,0.02,134,93,77,84,
30000,0.03,180,91,84,83,
40000,0.04,178,80,77,78,
50000,0.05,165,81,79,78,
60000,0.06,160,97,81,76,
70000,0.07,146,78,87,75,
80000,0.08,125,78,80,80,
90000,0.09,94,86,83,84,
100000,0.1,83,78,82,78,
110000,0.11,85,90,77,73,
120000,0.12,77,82,77,75,
130000,0.13,82,79,80,58,
140000,0.14,94,73,81,60,
150000,0.15,87,81,81,54,
160000,0.16,84,79,84,57,
170000,0.17,80,82,78,61,
180000,0.18,91,81,80,57,
190000,0.19,73,71,79,57,
200000,0.2,83,78,79,56,
210000,0.21,82,91,73,65,
220000,0.22,85,80,77,58,
230000,0.23,93,70,80,58,
240000,0.24,95,87,88,55,
250000,0.25,91,85,82,56,
260000,0.26,88,75,55,43,
270000,0.27,86,73,56,44,
280000,0.28,89,77,59,43,
290000,0.29,90,75,58,43,
300000,0.3,87,87,57,47,
310000,0.31,90,76,56,43,
320000,0.32,87,85,56,43,
330000,0.33,87,86,58,43,
340000,0.34,74,77,58,44,
350000,0.35,88,77,56,41,
360000,0.36,76,74,57,43,
370000,0.37,84,75,59,44,
380000,0.38,86,76,57,43,
390000,0.39,76,74,56,44,
400000,0.4,84,75,57,43,
410000,0.41,84,78,62,50,
420000,0.42,90,73,58,45,
430000,0.43,77,76,59,44,
440000,0.44,85,74,54,42,
450000,0.45,88,73,60,44,
460000,0.46,74,87,56,43,
470000,0.47,76,77,57,44,
480000,0.48,87,75,57,42,
490000,0.49,86,75,59,42,
500000,0.5,84,75,56,45,
510000,0.51,70,53,46,44,
520000,0.52,68,45,44,45,
530000,0.53,69,46,47,47,
540000,0.54,74,48,47,45,
550000,0.55,69,44,51,45,
560000,0.56,69,46,45,44,
570000,0.57,68,46,46,45,
580000,0.58,72,46,46,43,
590000,0.59,70,45,60,45,

