Array Size: 10000000,
Cutoff,Cutoff/arraySize,1 Thread(s),2 Thread(s),4 Thread(s),8 Thread(s),16 Thread(s),32 Thread(s),
7600000,0.76,989,695,729,950,1039,1025,
7650000,0.765,995,688,734,1795,1028,1064,
7700000,0.77,982,689,717,2522,732,1038,
7750000,0.775,988,691,753,1818,720,986,
7800000,0.78,987,699,724,1107,720,1457,
7850000,0.785,987,689,769,1044,892,953,
7900000,0.79,1020,695,744,1208,987,968,
7950000,0.795,999,687,714,2557,1768,969,
8000000,0.8,983,696,727,2857,1064,969,
8050000,0.805,1058,690,713,1117,1048,914,
8100000,0.81,1082,698,743,901,1034,1796,
8150000,0.815,1052,688,759,857,745,1117,
8200000,0.82,1018,687,726,805,714,1027,
8250000,0.825,1058,692,767,847,713,1036,
8300000,0.83,1017,695,755,926,893,722,
8350000,0.835,988,695,754,1045,1190,725,
8400000,0.84,981,694,752,1087,1885,727,
8450000,0.845,988,679,758,981,1164,885,
8500000,0.85,994,697,732,2336,1050,1978,
8550000,0.855,973,699,717,938,1033,1913,
8600000,0.86,971,693,744,961,1020,1098,
8650000,0.865,996,678,766,962,746,1065,
8700000,0.87,988,690,738,984,750,988,
8750000,0.875,980,696,714,2213,765,983,
8800000,0.88,956,690,710,1885,756,724,
8850000,0.885,978,682,724,1145,1772,728,
8900000,0.89,987,696,731,1099,1992,733,
8950000,0.895,977,702,709,713,1139,988,

