Array Size: 10000000,
Cutoff,Cutoff/arraySize,1 Thread(s),2 Thread(s),4 Thread(s),8 Thread(s),16 Thread(s),32 Thread(s),
100000,0.01,3800,2196,1712,2064,2223,2464,
150000,0.015,2083,1754,2044,1796,2260,2242,
200000,0.02,1733,1575,1699,1657,2030,2026,
250000,0.025,1782,1594,1625,1724,1948,1904,
300000,0.03,1709,1677,1741,1759,1958,1898,
350000,0.035,2202,1430,1512,1490,1883,1576,
400000,0.04,2103,1452,1468,1515,1776,1556,
450000,0.045,1681,1522,1505,1525,1782,1667,
500000,0.05,1704,1568,1532,1661,2083,1586,
550000,0.055,1565,1501,1470,1554,2001,1546,
600000,0.06,1615,1447,1487,1594,1991,1540,
650000,0.065,1471,1436,1380,1451,1541,1333,
700000,0.07,1527,1463,1482,1536,1504,1333,
750000,0.075,1540,1443,1381,1581,1508,1421,
800000,0.08,1521,1425,1294,1520,1638,1322,
850000,0.085,1435,1586,1339,1527,1606,1317,
900000,0.09,1567,1451,1427,1426,1591,1259,
950000,0.095,1583,1484,1454,1478,1566,1343,
1000000,0.1,1417,1627,1455,1585,1452,1444,
1050000,0.105,1609,1380,1370,1702,1529,1289,
1100000,0.11,1616,1517,1461,1677,1586,1280,
1150000,0.115,1458,1445,1453,1542,1559,1311,
1200000,0.12,1620,1594,1379,1458,1441,1368,
1250000,0.125,1549,1651,1480,1480,2765,1246,
1300000,0.13,1492,1433,1371,1138,1273,1174,
1350000,0.135,1397,1298,1357,1089,1041,1228,
1400000,0.14,1485,1452,1340,1143,948,1364,
1450000,0.145,1394,1362,1322,1117,1529,1205,
1500000,0.15,1394,1390,1341,1112,1267,1394,
1550000,0.155,1480,1360,1284,1131,2271,2977,
1600000,0.16,1333,1337,1367,1119,3241,1428,
1650000,0.165,1395,1351,1358,1147,2250,1577,
1700000,0.17,1503,1303,1342,1080,2985,2693,
1750000,0.175,1400,1389,1404,1115,3645,1749,
1800000,0.18,1469,1372,1333,1151,1754,1446,
1850000,0.185,1523,1434,1326,1173,1505,1227,
1900000,0.19,1510,1473,1535,1124,2749,2082,
1950000,0.195,1493,1489,1562,1176,1574,1970,
2000000,0.2,1449,1399,1412,1160,1421,1459,
2050000,0.205,1492,1393,1364,1119,2859,1384,
2100000,0.21,1503,1390,1386,1166,2900,1346,
2150000,0.215,1484,1337,1360,1173,1918,1450,
2200000,0.22,1375,1463,1456,1133,1505,1355,
2250000,0.225,1421,1352,1363,1121,1802,1370,
2300000,0.23,1432,1373,1269,1162,3293,1424,
2350000,0.235,1478,1411,1303,1120,1533,1288,
2400000,0.24,1421,1333,1250,1145,2938,1435,
2450000,0.245,1384,1308,1272,1140,1542,2982,
2500000,0.25,1493,1337,1366,1109,2794,1629,
2550000,0.255,1189,1224,958,797,1382,954,
2600000,0.26,1329,1227,948,806,2546,2162,
2650000,0.265,1223,1190,955,810,2193,2067,
2700000,0.27,1385,1199,956,814,1038,1356,
2750000,0.275,1202,1219,976,820,1616,974,
2800000,0.28,1190,1248,964,840,3092,1590,
2850000,0.285,1189,1234,974,854,1385,2981,
2900000,0.29,1187,1187,966,875,1795,1215,
2950000,0.295,1320,1208,966,817,1440,1286,
3000000,0.3,1176,1210,939,815,1450,2724,
3050000,0.305,1319,1214,925,839,1704,1194,
3100000,0.31,1316,1232,954,828,1419,1369,
3150000,0.315,1202,1185,940,822,2310,2546,
3200000,0.32,1200,1192,950,806,1502,1374,
3250000,0.325,1208,1176,981,852,1742,1753,
3300000,0.33,1204,1183,953,825,1549,1710,
3350000,0.335,1331,1198,941,821,1043,1309,
3400000,0.34,1336,1181,966,837,1292,1281,
3450000,0.345,1186,1189,1019,828,2258,1530,
3500000,0.35,1195,1187,959,837,1415,2391,
3550000,0.355,1191,1164,969,841,1638,1452,
3600000,0.36,1338,1203,960,815,1554,1496,
3650000,0.365,1330,1187,954,862,1555,1880,
3700000,0.37,1203,1180,933,813,1748,1606,
3750000,0.375,1324,1176,962,788,1461,1482,
3800000,0.38,1318,1186,943,855,815,1412,
3850000,0.385,1345,1186,959,1000,1030,1558,
3900000,0.39,1192,1194,948,1310,2653,1392,
3950000,0.395,1192,1184,935,4336,1349,1507,
4000000,0.4,1221,1211,970,2956,2176,1701,
4050000,0.405,1199,1185,936,2746,1431,1405,
4100000,0.41,1195,1159,982,1367,1633,1610,
4150000,0.415,1326,1187,975,2905,1521,1555,
4200000,0.42,1324,1184,961,3132,1467,1332,
4250000,0.425,1326,1178,955,1329,900,1777,
4300000,0.43,1205,1166,958,3740,1000,1587,
4350000,0.435,1342,1189,947,2103,2527,1760,
4400000,0.44,1196,1196,936,1061,1366,1064,
4450000,0.445,1214,1180,956,3339,1270,1395,
4500000,0.45,1333,1207,974,2592,1995,1506,
4550000,0.455,1318,1179,940,1165,1365,1345,
4600000,0.46,1188,1163,958,2403,893,1311,
4650000,0.465,1323,1182,956,2712,931,1409,
4700000,0.47,1365,1174,976,1146,2592,1213,
4750000,0.475,1344,1174,966,2770,1358,1259,
4800000,0.48,1195,1189,961,2560,1277,1812,
4850000,0.485,1337,1207,960,1422,1936,1035,
4900000,0.49,1197,1192,936,3379,1361,1271,
4950000,0.495,1331,1176,964,2659,1491,1991,
5000000,0.5,1196,1181,972,1804,1785,1359,
5050000,0.505,984,683,687,1404,1013,994,
5100000,0.51,1034,682,725,1408,987,992,
5150000,0.515,978,691,683,1043,1122,1750,
5200000,0.52,983,687,686,1127,2114,1453,
5250000,0.525,983,706,700,990,1109,1201,
5300000,0.53,988,695,689,2120,1075,999,
5350000,0.535,982,686,711,2641,1009,1057,
5400000,0.54,993,696,728,1933,1039,967,
5450000,0.545,981,685,715,781,1165,963,
5500000,0.55,987,689,754,829,962,1098,
5550000,0.555,970,699,731,800,1138,1073,
5600000,0.56,977,695,701,843,1037,986,
5650000,0.565,961,693,744,1076,990,986,
5700000,0.57,979,698,721,970,1031,1657,
5750000,0.575,982,699,685,1061,2232,1518,
5800000,0.58,990,689,679,1009,941,964,
5850000,0.585,982,702,680,1767,1026,967,
5900000,0.59,1000,676,692,2636,961,973,
5950000,0.595,984,689,713,2043,1015,1002,
6000000,0.6,983,710,779,767,872,1049,
6050000,0.605,985,671,778,804,919,1060,
6100000,0.61,989,695,730,815,1129,1046,
6150000,0.615,987,673,736,837,990,992,
6200000,0.62,988,694,719,991,987,988,
6250000,0.625,977,690,766,941,980,718,
6300000,0.63,992,673,770,1098,2532,719,
6350000,0.635,980,679,713,983,1000,722,
6400000,0.64,1000,686,692,1554,1045,730,
6450000,0.645,992,701,692,2636,1017,2374,
6500000,0.65,994,687,703,2418,1024,1844,
6550000,0.655,993,686,712,943,888,1078,
6600000,0.66,996,698,704,982,1015,1019,
6650000,0.665,972,692,696,1003,1097,999,
6700000,0.67,951,686,686,1139,1039,995,
6750000,0.675,986,697,711,918,784,729,
6800000,0.68,989,691,709,920,721,725,
6850000,0.685,996,688,704,1126,848,964,
6900000,0.69,989,682,711,1048,983,1004,
6950000,0.695,975,688,716,977,1901,1913,
7000000,0.7,992,693,713,2425,1977,1911,
7050000,0.705,987,699,702,916,1103,1024,
7100000,0.71,1004,693,720,1001,1049,1088,
7150000,0.715,988,689,721,962,998,984,
7200000,0.72,999,701,734,1008,976,976,
7250000,0.725,987,684,750,1527,726,1850,
7300000,0.73,1007,685,761,1939,722,1554,
7350000,0.735,991,669,740,1119,770,910,
7400000,0.74,985,694,749,1075,966,920,
7450000,0.745,996,688,751,1018,1831,926,
7500000,0.75,992,691,760,914,1864,833,
7550000,0.755,993,680,761,971,1068,844,
