Array Size: 2000000,
Cutoff,Cutoff/arraySize,1 Thread(s),2 Thread(s),4 Thread(s),8 Thread(s),16 Thread(s),32 Thread(s),64 Thread(s),
1920000,0.32,562,486,402,285,319,295,306,
1980000,0.33,483,503,381,283,279,277,301,
2040000,0.34,480,511,389,279,291,281,314,
2100000,0.35,559,488,384,289,280,299,280,
2160000,0.36,566,486,377,278,287,273,279,
2220000,0.37,561,493,375,277,276,292,315,
2280000,0.38,597,475,382,278,291,278,277,
2340000,0.39,484,487,380,292,276,280,295,
2400000,0.4,498,485,380,303,296,339,280,
2460000,0.41,486,480,372,300,273,304,279,
2520000,0.42,567,482,389,279,294,270,293,
2580000,0.43,564,492,391,280,275,292,282,
2640000,0.44,566,502,390,277,299,283,273,
2700000,0.45,483,486,383,284,292,276,294,
2760000,0.46,558,488,366,283,294,292,285,
2820000,0.47,513,483,368,291,323,279,279,
2880000,0.48,519,488,363,281,277,273,302,
2940000,0.49,491,483,373,286,287,298,307,
3000000,0.5,557,487,372,286,284,274,310,

Array Size: 8000000,
Cutoff,Cutoff/arraySize,1 Thread(s),2 Thread(s),4 Thread(s),8 Thread(s),16 Thread(s),32 Thread(s),64 Thread(s),
80000,0.01,880,741,825,763,799,710,643,
160000,0.02,765,780,803,750,724,678,555,
240000,0.03,801,772,801,715,705,664,651,
320000,0.04,718,788,629,705,772,541,543,
400000,0.05,760,719,777,797,707,515,535,
480000,0.06,868,734,703,616,728,533,497,
560000,0.07,785,748,649,760,529,459,460,
640000,0.08,737,708,650,693,528,485,444,
720000,0.09,770,743,722,703,517,499,463,
800000,0.1,747,779,834,690,527,441,467,
880000,0.11,873,673,673,648,546,461,504,
960000,0.12,759,871,708,627,523,443,502,
1040000,0.13,767,731,685,551,424,410,395,
1120000,0.14,734,704,786,576,435,405,420,
1200000,0.15,714,800,716,519,459,403,392,
1280000,0.16,729,731,749,542,397,423,417,
1360000,0.17,690,754,688,520,425,445,404,
1440000,0.18,773,662,780,543,401,461,407,
1520000,0.19,850,700,718,518,406,404,421,
1600000,0.2,796,683,684,546,415,432,397,
1680000,0.21,716,710,709,530,398,399,423,
1760000,0.22,804,666,695,543,422,424,403,
1840000,0.23,735,755,729,539,422,404,417,
1920000,0.24,738,698,719,567,460,401,426,
2000000,0.25,660,658,682,540,401,416,452,
2080000,0.26,716,652,486,369,380,372,436,
2160000,0.27,642,647,530,389,388,391,377,
