Array Size: 1000000,
Cutoff,Cutoff/arraySize,1 Thread(s),2 Thread(s),4 Thread(s),8 Thread(s),16 Thread(s),32 Thread(s),
10000,0.01,535,204,197,192,187,202,
15000,0.015,486,205,216,193,196,190,
20000,0.02,280,185,179,180,171,172,
25000,0.025,203,185,183,179,172,168,
30000,0.03,200,188,184,180,180,174,
35000,0.035,177,168,167,164,154,144,
40000,0.04,183,171,166,161,168,137,
45000,0.045,167,173,169,158,153,143,
50000,0.05,178,170,162,165,159,142,
55000,0.055,185,173,167,156,160,139,
60000,0.06,178,174,164,163,168,143,
65000,0.065,169,168,156,159,131,122,
70000,0.07,163,161,158,156,130,126,
75000,0.075,178,162,160,156,129,125,
80000,0.08,158,160,156,159,127,130,
85000,0.085,169,159,156,153,129,123,
90000,0.09,163,156,155,152,126,127,
95000,0.095,166,164,152,149,129,123,
100000,0.1,170,163,158,157,129,128,
105000,0.105,172,151,152,159,134,122,
110000,0.11,151,165,156,154,126,126,
115000,0.115,170,161,161,155,131,122,
120000,0.12,164,157,156,150,131,125,
125000,0.125,172,160,150,159,132,129,
130000,0.13,173,144,157,123,107,109,
135000,0.135,178,150,147,123,112,121,
140000,0.14,152,147,162,129,112,121,
145000,0.145,160,152,155,125,111,107,
150000,0.15,158,146,147,127,106,109,
155000,0.155,158,156,157,120,111,116,
160000,0.16,154,150,152,122,112,108,
165000,0.165,157,153,145,127,106,111,
170000,0.17,155,157,154,122,107,112,
175000,0.175,161,149,144,127,112,110,
180000,0.18,156,147,158,128,109,114,
185000,0.185,163,146,157,124,112,106,
190000,0.19,174,146,143,128,109,112,
195000,0.195,158,158,151,121,106,107,
200000,0.2,163,158,151,120,116,108,
205000,0.205,158,143,153,124,107,113,
210000,0.21,161,160,148,128,113,109,
215000,0.215,168,150,141,127,107,112,
220000,0.22,160,137,151,128,109,109,
225000,0.225,169,149,154,125,110,109,
230000,0.23,162,148,149,123,108,117,
235000,0.235,171,150,153,121,114,107,
240000,0.24,169,135,160,127,111,114,
245000,0.245,161,146,149,125,110,109,
250000,0.25,171,151,145,129,115,110,
255000,0.255,136,135,107,97,93,99,
260000,0.26,151,148,105,90,91,93,
265000,0.265,133,151,111,92,96,94,
270000,0.27,142,139,108,91,96,92,
275000,0.275,135,147,112,96,90,99,
280000,0.28,136,134,106,92,92,91,
285000,0.285,145,140,106,91,95,92,
290000,0.29,138,134,110,93,91,93,
