Array Size: 1000000,
Cutoff,Cutoff/arraySize,1 Thread(s),2 Thread(s),4 Thread(s),8 Thread(s),16 Thread(s),32 Thread(s),
295000,0.295,146,146,107,95,91,97,
300000,0.3,154,132,110,91,91,91,
305000,0.305,137,150,107,93,99,93,
310000,0.31,138,138,105,93,92,93,
315000,0.315,135,137,104,95,93,100,
320000,0.32,137,140,116,92,97,93,
325000,0.325,146,138,105,93,100,92,
330000,0.33,153,145,105,93,93,96,
335000,0.335,140,136,108,94,98,103,
340000,0.34,140,145,108,91,97,95,
345000,0.345,139,147,103,96,101,94,
350000,0.35,151,135,103,91,95,98,
355000,0.355,154,136,104,97,95,93,
360000,0.36,141,133,116,91,92,91,
365000,0.365,152,150,110,92,97,94,
370000,0.37,157,137,106,97,92,98,
375000,0.375,153,137,108,91,93,92,
380000,0.38,142,134,116,92,94,92,
385000,0.385,138,140,109,93,96,95,
390000,0.39,141,136,105,96,92,98,
395000,0.395,134,150,113,92,91,93,
400000,0.4,135,131,108,92,95,92,
405000,0.405,145,137,109,91,95,94,
410000,0.41,148,128,103,96,95,98,
415000,0.415,149,141,115,92,95,94,
420000,0.42,137,137,109,97,98,93,
425000,0.425,151,131,108,94,93,95,
430000,0.43,138,134,108,97,99,100,
435000,0.435,136,138,110,93,95,100,
440000,0.44,145,142,108,93,103,100,
445000,0.445,153,137,105,92,97,95,
450000,0.45,140,132,103,95,95,110,
455000,0.455,150,147,112,93,93,95,
460000,0.46,155,135,108,91,99,95,
465000,0.465,154,136,108,92,92,92,
470000,0.47,142,147,105,100,94,100,
475000,0.475,150,136,109,93,95,92,
480000,0.48,140,151,103,92,97,94,
485000,0.485,150,133,103,93,92,101,
490000,0.49,140,135,104,93,92,95,
495000,0.495,147,138,106,95,92,92,
500000,0.5,147,137,104,96,96,93,
505000,0.505,109,78,73,78,75,79,
510000,0.51,104,79,77,80,82,81,
515000,0.515,104,76,74,75,80,78,
520000,0.52,101,76,74,75,78,76,
525000,0.525,103,74,81,76,74,74,
530000,0.53,102,76,78,77,79,75,
535000,0.535,100,78,78,77,75,75,
540000,0.54,104,78,79,75,75,77,
545000,0.545,108,76,79,76,76,76,
550000,0.55,106,75,76,78,75,85,
555000,0.555,105,75,80,74,76,75,
560000,0.56,103,75,76,74,74,74,
565000,0.565,111,76,81,72,74,76,
570000,0.57,102,74,79,74,80,78,
575000,0.575,97,77,77,76,76,78,
580000,0.58,102,77,79,77,75,77,
585000,0.585,106,76,77,75,74,86,
590000,0.59,102,74,77,80,74,78,
595000,0.595,101,74,78,75,73,78,
600000,0.6,101,72,81,74,75,77,
605000,0.605,104,75,75,74,76,79,
610000,0.61,102,77,74,76,81,79,
615000,0.615,103,74,74,72,76,77,
620000,0.62,105,73,76,73,75,77,
625000,0.625,104,75,76,78,77,82,
630000,0.63,103,75,78,73,75,77,
635000,0.635,106,78,75,74,76,82,
640000,0.64,102,76,78,74,75,82,
645000,0.645,102,75,76,75,78,77,
650000,0.65,101,77,77,73,76,76,
655000,0.655,103,77,75,74,72,75,
660000,0.66,105,77,76,79,76,75,
665000,0.665,102,73,75,80,79,83,
670000,0.67,105,76,77,75,78,78,
675000,0.675,105,77,75,79,78,78,
680000,0.68,104,77,78,76,77,78,
685000,0.685,104,76,80,79,82,77,
690000,0.69,101,81,78,77,80,78,
695000,0.695,102,76,76,73,79,77,
700000,0.7,102,78,77,74,74,75,
705000,0.705,100,76,78,80,75,74,
710000,0.71,100,76,78,73,76,77,
715000,0.715,98,78,80,75,75,74,
720000,0.72,100,78,78,74,74,74,
725000,0.725,102,74,78,73,79,75,
730000,0.73,104,76,75,74,78,75,
735000,0.735,101,76,75,78,76,73,
740000,0.74,103,74,74,76,78,81,
745000,0.745,105,75,74,74,78,77,
750000,0.75,101,75,75,74,75,74,
755000,0.755,99,76,77,76,77,74,
760000,0.76,100,75,76,75,78,77,
765000,0.765,101,77,74,74,76,74,
770000,0.77,101,74,76,78,74,77,
775000,0.775,108,74,75,73,75,74,
780000,0.78,105,80,75,79,77,80,
785000,0.785,104,75,75,79,76,77,
790000,0.79,102,75,74,76,75,75,
795000,0.795,102,73,79,77,74,75,
800000,0.8,102,73,73,79,79,76,
805000,0.805,102,77,74,74,74,74,
810000,0.81,105,74,75,75,76,74,
815000,0.815,103,74,76,75,77,75,
820000,0.82,102,76,75,79,76,78,
825000,0.825,104,87,74,74,74,75,
830000,0.83,103,77,74,75,75,77,
835000,0.835,106,76,80,75,76,75,
840000,0.84,103,75,80,76,80,75,
845000,0.845,103,77,77,75,75,76,
850000,0.85,103,75,82,75,75,76,
855000,0.855,101,75,78,80,77,81,
860000,0.86,98,76,77,76,75,78,
865000,0.865,105,76,77,77,76,76,
870000,0.87,101,74,79,74,77,75,
875000,0.875,101,76,78,75,80,75,
880000,0.88,101,76,76,76,75,74,
885000,0.885,101,74,75,74,78,73,
890000,0.89,101,74,75,75,77,73,
895000,0.895,98,76,78,78,75,82,

