Array Size: 10000000,
Cutoff,Cutoff/arraySize,1 Thread(s),2 Thread(s),4 Thread(s),8 Thread(s),16 Thread(s),32 Thread(s),
100000,0.01,2664,1719,1736,2791,1749,2152,
150000,0.015,1821,1686,1674,1653,1705,2078,
200000,0.02,1934,1640,1859,1563,1485,1767,
250000,0.025,2210,1625,1890,1527,1517,1766,
300000,0.03,1899,1617,1589,1574,1544,1739,
350000,0.035,1792,1698,1486,1379,1447,1564,
400000,0.04,1632,1427,1498,1416,1448,1419,
450000,0.045,1767,1579,1583,1443,1458,1557,
500000,0.05,1768,1437,1551,1476,1375,1528,
550000,0.055,1579,1615,1535,1467,1477,1433,
600000,0.06,1771,1546,1520,1438,1579,1530,
650000,0.065,1706,1455,1557,1261,1290,1242,
700000,0.07,1593,1590,1536,1432,1281,1210,
750000,0.075,1588,1767,1373,1363,1313,1258,
800000,0.08,1554,1573,1636,1613,1334,1154,
850000,0.085,1503,1628,1498,1489,1346,1205,
900000,0.09,1579,1680,1426,1322,1302,1203,
950000,0.095,1521,1425,1457,1449,1313,1242,
1000000,0.1,1559,1360,1460,1416,1153,1186,
1050000,0.105,1602,1471,1361,1355,1159,1300,
1100000,0.11,1426,1664,1297,1398,1166,1342,
1150000,0.115,1493,1613,1413,1439,1306,1215,
1200000,0.12,1638,1335,1391,1426,1614,1257,
1250000,0.125,1410,1531,1406,1405,1538,1227,
1300000,0.13,1505,1415,1445,1126,961,1160,
1350000,0.135,1371,1394,1369,1104,906,1210,
1400000,0.14,1370,1266,1368,1104,937,1345,
1450000,0.145,1406,1450,1388,1119,899,1218,
1500000,0.15,1375,1502,1341,1121,894,1362,
1550000,0.155,1413,1427,1397,1127,909,1137,
1600000,0.16,1552,1409,1335,1108,905,1498,
1650000,0.165,1484,1368,1357,1098,1019,1272,
1700000,0.17,1368,1394,1312,1134,1467,1363,
1750000,0.175,1405,1360,1291,1105,1064,1530,
1800000,0.18,1391,1485,1279,1126,1271,1279,
1850000,0.185,1406,1378,1343,1098,1484,1470,
1900000,0.19,1395,1319,1397,1098,1171,1468,
1950000,0.195,1475,1346,1651,1111,1721,1246,
2000000,0.2,1410,1491,1410,1083,1473,1325,
2050000,0.205,1511,1364,1364,1116,1423,1488,
2100000,0.21,1480,1346,1323,1091,1594,1146,
2150000,0.215,1505,1359,1266,1116,1347,1601,
2200000,0.22,1424,1368,1318,1140,1614,1437,
2250000,0.225,1475,1341,1321,1121,1363,1196,
2300000,0.23,1447,1478,1349,1101,1614,1423,
2350000,0.235,1385,1483,1420,1092,1129,1433,
2400000,0.24,1480,1395,1336,1115,1443,1535,
2450000,0.245,1387,1289,1335,1115,1587,1435,
2500000,0.25,1412,1392,1345,1089,1234,1465,
2550000,0.255,1224,1215,989,817,1432,1126,
2600000,0.26,1350,1202,968,798,1344,1258,
2650000,0.265,1210,1202,976,825,1006,1161,
2700000,0.27,1353,1218,974,895,1388,1340,
2750000,0.275,1353,1240,943,928,863,1280,
2800000,0.28,1219,1215,972,840,1186,1162,
2850000,0.285,1208,1221,965,814,1044,1324,
2900000,0.29,1212,1225,950,822,1114,1243,
2950000,0.295,1208,1210,976,794,1342,1039,
3000000,0.3,1226,1188,950,791,1232,1244,
3050000,0.305,1368,1252,972,815,1020,1030,
3100000,0.31,1367,1215,976,779,1364,1100,
3150000,0.315,1468,1209,962,791,1284,1346,
3200000,0.32,1262,1194,943,787,970,1095,
3250000,0.325,1344,1202,941,803,1389,901,
3300000,0.33,1390,1197,952,826,889,1013,
3350000,0.335,1406,1182,970,791,1176,1036,
3400000,0.34,1259,1219,938,792,1099,1212,
3450000,0.345,1255,1197,1001,799,1447,1291,
3500000,0.35,1381,1224,968,840,935,1084,
3550000,0.355,1218,1207,930,785,1231,1334,
3600000,0.36,1351,1201,957,796,1216,1255,
3650000,0.365,1213,1220,948,793,1167,1272,
3700000,0.37,1351,1224,979,790,1289,1317,
3750000,0.375,1334,1209,944,786,1263,1053,
3800000,0.38,1210,1195,957,792,1044,836,
3850000,0.385,1196,1191,971,772,1403,929,
3900000,0.39,1205,1207,956,776,1242,1307,
3950000,0.395,1332,1201,954,780,1357,1314,
4000000,0.4,1219,1176,989,801,966,1129,
4050000,0.405,1221,1188,977,787,975,1111,
4100000,0.41,1214,1282,978,798,1198,1286,
4150000,0.415,1355,1315,965,815,1385,1223,
4200000,0.42,1230,1235,972,791,941,1146,
4250000,0.425,1377,1252,965,800,1048,1346,
4300000,0.43,1236,1210,961,792,1245,1157,
4350000,0.435,1368,1201,967,803,1342,1299,
4400000,0.44,1344,1200,981,833,901,1013,
4450000,0.445,1214,1203,980,796,1038,1089,
4500000,0.45,1209,1203,947,796,1179,1238,
4550000,0.455,1215,1218,954,790,1229,1209,
4600000,0.46,1322,1211,998,798,1261,1279,
4650000,0.465,1221,1208,1156,799,1157,1220,
4700000,0.47,1342,1207,1044,843,1337,1189,
4750000,0.475,1202,1189,1057,811,1256,1100,
4800000,0.48,1408,1208,1049,811,1293,1250,
4850000,0.485,1589,1203,1070,799,1317,1311,
4900000,0.49,1206,1198,1053,794,898,1318,
4950000,0.495,1355,1195,1041,804,852,1064,
5000000,0.5,1341,1198,961,790,1181,889,
5050000,0.505,1034,698,700,704,1126,745,
5100000,0.51,995,691,705,701,1022,730,
5150000,0.515,1021,708,712,720,1006,1017,
5200000,0.52,1025,710,715,699,1010,1053,
5250000,0.525,1036,708,743,755,911,1027,
5300000,0.53,1013,705,785,767,732,1099,
5350000,0.535,1018,707,763,755,714,1107,
5400000,0.54,1018,700,731,721,714,984,
5450000,0.545,1009,695,720,694,710,757,
5500000,0.55,1022,693,718,698,735,765,
5550000,0.555,1009,702,715,709,899,832,
5600000,0.56,1015,703,727,695,1075,812,
5650000,0.565,1017,705,730,693,1054,788,
5700000,0.57,997,691,713,693,1002,969,
5750000,0.575,995,706,711,715,1002,773,
5800000,0.58,1005,700,712,689,743,1025,
5850000,0.585,983,686,703,719,784,1055,
5900000,0.59,994,698,715,727,766,1087,
5950000,0.595,1011,688,716,723,741,1045,
6000000,0.6,1001,701,730,698,786,942,
6050000,0.605,996,690,723,701,972,1071,
6100000,0.61,998,696,720,697,1071,1022,
6150000,0.615,1018,705,702,698,1023,1042,
6200000,0.62,1022,697,698,709,1000,1044,
6250000,0.625,1005,702,702,697,1012,747,
6300000,0.63,1025,697,730,685,1001,704,
6350000,0.635,1027,702,706,698,774,725,
6400000,0.64,1018,716,735,701,734,730,
6450000,0.645,999,760,737,695,732,907,
6500000,0.65,1016,837,687,698,744,971,
6550000,0.655,995,702,694,693,751,1160,
6600000,0.66,1025,700,700,724,794,1056,
6650000,0.665,1006,712,687,704,1071,1006,
6700000,0.67,1005,696,714,702,1043,1027,
