Array Size: 10000000,
Cutoff,Cutoff/arraySize,1 Thread(s),2 Thread(s),4 Thread(s),8 Thread(s),16 Thread(s),32 Thread(s),
6750000,0.675,997,706,699,692,1008,756,
6800000,0.68,1012,704,699,710,1005,735,
6850000,0.685,1110,707,724,701,730,722,
6900000,0.69,1078,710,718,702,719,762,
6950000,0.695,1006,694,722,699,727,876,
7000000,0.7,992,713,716,702,723,904,
7050000,0.705,1010,707,720,695,898,1067,
7100000,0.71,996,712,711,697,943,1029,
7150000,0.715,1012,702,701,698,1065,747,
7200000,0.72,1026,705,700,708,1035,703,
7250000,0.725,1006,713,757,704,1006,871,
7300000,0.73,1008,707,717,702,1009,1008,
7350000,0.735,1022,692,707,698,1006,1015,
7400000,0.74,1010,698,698,698,770,916,
7450000,0.745,1027,695,690,700,720,1075,
7500000,0.75,997,700,697,695,718,1019,
7550000,0.755,1011,701,716,693,715,982,
7600000,0.76,1003,694,737,698,717,745,
7650000,0.765,989,707,752,703,788,723,
7700000,0.77,1020,701,740,700,1066,721,
7750000,0.775,1026,698,702,708,1027,892,
7800000,0.78,998,696,700,701,1007,1076,
7850000,0.785,994,696,700,708,1003,980,
7900000,0.79,1018,706,698,702,753,1155,
7950000,0.795,1001,711,705,696,726,1027,
8000000,0.8,1005,705,699,695,728,736,
8050000,0.805,1002,706,700,699,725,713,
8100000,0.81,1014,713,708,711,929,881,
8150000,0.815,1021,698,723,696,921,1017,
8200000,0.82,1001,706,740,696,1176,1016,
8250000,0.825,995,717,703,699,1092,940,
8300000,0.83,990,701,714,693,1074,1132,
8350000,0.835,991,695,693,710,1004,1061,
8400000,0.84,986,699,714,698,1007,1035,
8450000,0.845,993,709,705,721,766,734,
8500000,0.85,1016,691,701,786,720,721,
8550000,0.855,994,703,695,773,731,714,
8600000,0.86,985,705,713,773,771,886,
8650000,0.865,987,702,695,718,773,1014,
8700000,0.87,1001,720,686,703,757,930,
8750000,0.875,1019,710,693,709,1155,1073,
8800000,0.88,1018,700,693,701,1082,1020,
8850000,0.885,1011,721,713,697,1054,1013,
8900000,0.89,1004,719,698,705,890,728,
8950000,0.895,1020,706,702,709,737,719,

